Date,Dies,Disease
16.04.21,320801.5,17390299.5
16.04.22,560775.5,52020891.5
16.05.20,49970.5,821684.5
16.05.21,333916.0,18322439.5
16.06.20,64206.0,1160004.5
16.06.21,343360.5,18661936.5
16.07.20,73933.0,1886125.0
16.07.21,348138.5,18955950.5
16.08.20,89558.5,2820578.0
16.08.21,355374.5,20426799.5
16.09.20,102491.0,3458827.5
16.09.21,380185.0,22983406.5
16.10.20,113704.0,4200685.0
16.10.21,408520.0,24676368.0
16.11.20,129716.0,6020884.0
16.11.21,430736.0,26206511.5
16.12.20,166745.5,9229520.0
16.12.21,454840.5,28614414.0
17.01.21,224407.5,13076788.0
17.01.22,484097.5,37370292.0
17.02.20,0.0,15.0
17.02.21,277767.0,15170580.5
17.02.22,525428.0,45662740.0
17.03.20,73.0,6834.0
17.03.21,304256.0,16150017.0
17.03.22,548474.5,48839091.0
17.04.20,21438.0,422482.5
17.04.21,321263.5,17429945.5
17.04.22,560875.5,52036313.5
17.05.20,50402.5,831340.5
17.05.21,334144.5,18337767.0
17.06.20,64594.5,1173702.0
17.06.21,343575.0,18668483.0
17.07.20,74392.5,1919652.5
17.07.21,348188.0,18963805.5
17.08.20,89793.5,2839783.0
17.08.21,355900.0,20504051.0
17.09.20,102920.0,3482583.5
17.09.21,381417.0,23094345.0
17.10.20,114125.0,4232016.0
17.10.21,408759.5,24696534.0
17.11.20,130700.5,6110416.5
17.11.21,431706.0,26289342.5
17.12.20,168817.0,9363107.5
17.12.21,455984.0,28736223.5
18.01.21,225295.0,13150771.5
18.01.22,485535.5,37972164.0
18.02.20,0.0,15.0
18.02.21,279324.5,15211973.5
18.02.22,526803.0,45845352.0
18.03.20,103.0,8683.5
18.03.21,305186.0,16189963.5
18.03.22,548987.5,49003687.0
18.04.20,22532.0,437951.5
18.04.21,321470.5,17461453.0
18.04.22,561008.0,52078250.0
18.05.20,51022.5,842665.5
18.05.21,334646.5,18354330.5
18.06.20,64957.5,1188105.5
18.06.21,343923.5,18679612.0
18.07.20,74834.0,1952078.0
18.07.21,348233.0,18974615.5
18.08.20,90408.0,2862929.0
18.08.21,356511.5,20592016.5
18.09.20,103401.5,3508634.5
18.09.21,381938.5,23136282.0
18.10.20,114359.0,4260896.0
18.10.21,409651.5,24748032.5
18.11.20,131812.0,6205181.5
18.11.21,432513.5,26376944.0
18.12.20,170688.5,9503971.5
18.12.21,456513.0,28797510.5
19.01.21,226984.0,13234906.5
19.01.22,487372.5,38482316.0
19.02.20,0.0,15.0
19.02.21,280840.0,15254106.0
19.02.22,527235.0,45955607.5
19.03.20,143.0,12331.0
19.03.21,305810.5,16229521.5
19.03.22,549233.0,49139247.5
19.04.20,23614.0,451891.5
19.04.21,321760.0,17496446.5
19.04.22,561401.5,52197164.0
19.05.20,51781.0,853173.0
19.05.21,335125.5,18374652.5
19.06.20,65282.5,1204017.5
19.06.21,344064.0,18684691.5
19.07.20,75072.5,1981645.0
19.07.21,348328.5,18999310.0
19.08.20,90756.0,2886626.0
19.08.21,357411.0,20673826.5
19.09.20,103752.0,3532671.5
19.09.21,382152.0,23162387.0
19.10.20,114604.5,4297000.5
19.10.21,410760.0,24792369.5
19.11.20,132952.0,6312637.5
19.11.21,433509.0,26466862.5
19.12.20,172441.5,9622547.0
19.12.21,456751.5,28856784.5
20.01.21,229773.5,13336592.0
20.01.22,488937.0,38915341.0
20.02.20,0.0,15.0
20.02.21,282039.0,15295579.0
20.02.22,527489.0,46026124.0
20.03.20,201.5,16993.5
20.03.21,306296.0,16266970.5
20.03.22,549298.5,49210865.0
20.04.20,24791.5,467821.0
20.04.21,322331.5,17532471.0
20.04.22,562011.0,52324776.5
20.05.20,52573.0,864984.5
20.05.21,335587.0,18395911.0
20.06.20,65570.0,1220231.0
20.06.21,344109.5,18687573.0
20.07.20,75338.0,2012101.0
20.07.21,348490.0,19019766.0
20.08.20,91311.0,2910045.0
20.08.21,358147.5,20798006.0
20.09.20,103882.5,3554149.0
20.09.21,383310.5,23250152.5
20.10.20,115094.5,4331304.5
20.10.21,412391.5,24846679.5
20.11.20,134049.5,6425295.0
20.11.21,433858.5,26521502.5
20.12.20,173497.0,9727531.0
20.12.21,457600.5,28984850.0
21.01.21,232339.0,13443071.5
21.01.22,490700.0,39405913.0
21.02.20,0.0,16.0
21.02.21,282713.0,15327049.0
21.02.22,527955.5,46104501.5
21.03.20,261.0,21343.5
21.03.21,306703.5,16291526.0
21.03.22,550069.0,49278160.5
21.04.20,26130.0,481751.0
21.04.21,322942.5,17577086.5
21.04.22,562347.0,52435396.5
21.05.20,53196.5,877933.0
21.05.21,336011.5,18414708.0
21.06.20,65728.0,1233492.5
21.06.21,344243.5,18693023.0
21.07.20,75888.0,2046459.0
21.07.21,348680.0,19044733.5
21.08.20,91860.5,2934554.0
21.08.21,358438.0,20848147.0
21.09.20,104085.5,3570632.0
21.09.21,384571.0,23313350.5
21.10.20,115692.5,4365455.0
21.10.21,413419.0,24893751.5
21.11.20,134995.0,6526687.5
21.11.21,434004.0,26562780.5
21.12.20,174506.0,9834282.5
21.12.21,458807.0,29086264.5
22.01.21,234656.5,13547890.0
22.01.22,491272.0,39624881.5
22.02.20,0.0,16.0
22.02.21,283341.5,15356975.5
22.02.22,529193.0,46212126.5
22.03.20,329.0,26777.0
22.03.21,307002.5,16319094.0
22.03.22,550479.5,49401484.5
22.04.20,27503.5,497810.0
22.04.21,323541.5,17625204.5
22.04.22,562741.0,52547945.5
22.05.20,53812.0,890077.0
22.05.21,336340.0,18428855.5
22.06.20,65918.5,1248661.5
22.06.21,344454.5,18698649.0
22.07.20,76503.0,2080459.0
22.07.21,348845.5,19073944.5
22.08.20,92347.0,2958408.5
22.08.21,358542.0,20873773.5
22.09.20,104603.5,3590678.5
22.09.21,385949.0,23384251.0
22.10.20,116126.5,4410909.0
22.10.21,414407.5,24951511.5
22.11.20,135589.5,6607851.5
22.11.21,434665.5,26650410.0
22.12.20,176517.5,9947014.5
22.12.21,461156.0,29230968.5
23.01.21,236863.0,13645189.0
23.01.22,491651.0,39850299.0
23.02.20,0.0,16.0
23.02.21,284683.0,15395847.5
23.02.22,530889.0,46359226.5
23.03.20,438.0,34384.0
23.03.21,307599.5,16349266.0
23.03.22,551458.0,49563695.0
23.04.20,28818.0,514968.5
23.04.21,324050.0,17670424.0
23.04.22,562778.0,52577360.0
23.05.20,54370.0,900490.5
23.05.21,336479.0,18439105.0
23.06.20,66293.0,1268278.0
23.06.21,344679.0,18705489.5
23.07.20,77049.0,2114687.0
23.07.21,349140.5,19135389.5
23.08.20,92595.5,2974755.0
23.08.21,359209.0,20979724.5
23.09.20,105133.5,3612122.5
23.09.21,387651.5,23454178.5
23.10.20,116623.5,4457361.0
23.10.21,414721.0,24975286.5
23.11.20,136167.0,6704039.0
23.11.21,435507.0,26718745.0
23.12.20,178683.5,10070104.5
23.12.21,462061.0,29388309.0
24.01.21,237958.5,13721389.0
24.01.22,492747.0,40342985.0
24.02.20,0.0,16.0
24.02.21,286509.5,15437362.5
24.02.22,532491.5,46500926.5
24.03.20,573.5,42075.0
24.03.21,308452.5,16401051.5
24.03.22,552036.0,49744383.5
24.04.20,30016.0,532119.5
24.04.21,324571.5,17709606.0
24.04.22,562789.5,52593584.5
